id,Influence Page Rank,Cosine similarity,Overall Average Page Rank of Successors,Average Influence Page Rank Successors,Frienship indegree,Influence Ratio
27,0.00341653587789149,0.7884159000000001,0.01260374886625728,0.00467461249191732,0,inf
28,0.017531108321729997,0.06085806,0.03411662786630649,0.03932931737451845,7,0.002504444045961428
29,0.0214337136766729,0.07453560000000001,0.05025426828532766,0.05370286197134022,9,0.002381523741852544
30,0.0461547557244306,0.1666667,0.0313176302564103,0.030357097865204102,1,0.0461547557244306
31,0.00745683826118623,0.38888890000000004,0.027460414543622424,0.01739177123862994,3,0.0024856127537287434
32,0.00439256154693459,0.06085806,0.0393433154754399,0.04859747888414135,5,0.000878512309386918
33,0.0250390100139722,0.05555556,0.03567315811068506,0.034402222150369345,15,0.0016692673342648132
34,0.0332506812258665,0.05555556,0.01863581206637507,0.024635226291242956,1,0.0332506812258665
35,0.00973103739229654,0.5100989,0.02735875715114394,0.016783474177070937,5,0.0019462074784593081
36,0.00274632508752181,0.6666667,0.01583504098836096,0.019227148890789292,3,0.0009154416958406034
37,0.0127986388286081,0.4444444,0.02737511368484635,0.04261208060723739,4,0.003199659707152025
38,0.0273958243033219,0.1666667,0.04534717977192355,0.04205100325201331,3,0.009131941434440634
39,0.0062203937366448,0.43598580000000003,0.04179493501214549,0.041787442590409014,4,0.0015550984341612
40,0.0036454930198385397,0.2222222,0.024579908552237295,0.02214102137481631,3,0.0012151643399461798
41,0.0111826562825203,0.06804138,0.03038574926313937,0.023672922580475382,4,0.002795664070630075
42,0.00341653587789149,1.0,0.00677323540364728,0.005859946832599797,3,0.0011388452926304967
43,0.00473089969672715,0.8333333,0.006450803070977379,0.004255651428582347,5,0.00094617993934543
44,0.0036007426700080296,0.3333333,0.02038002813581152,0.008028590148619329,3,0.0012002475566693432
45,0.0188317066314235,0.1666667,0.03620971810156811,0.043594695942978,3,0.006277235543807834
46,0.00412488871809715,0.38888890000000004,0.03787245379917393,0.0408113798293833,10,0.00041248887180971494
47,0.00274632508752181,0.3883828,0.016706746771166604,0.0203622664967378,1,0.00274632508752181
48,0.004361725476946889,0.5212100000000001,0.040009177467020506,0.03219601690807885,7,0.0006231036395638413
49,0.00414254975194343,0.3439383,0.030138838663581597,0.030577164646463127,3,0.0013808499173144767
50,0.0223721398345381,0.5,0.033475204570847204,0.03613183865517078,8,0.0027965174793172626
51,0.0231817818235792,0.4444444,0.031031888854998538,0.03438369074436768,10,0.00231817818235792
52,0.0376146357380277,0.27777779999999996,0.03284095746440935,0.029471775479017217,7,0.005373519391146815
53,0.00574855647260655,,0.03732336529125035,0.03469646750474464,4,0.0014371391181516376
54,0.00941349198226325,0.4444444,0.01422892143714964,0.02521407870112137,6,0.0015689153303772082
55,0.00390054512725945,0.48686450000000003,0.011779652875865106,0.015531008228540042,4,0.0009751362818148625
56,0.0304336521127765,0.8424735000000001,0.024289419111423082,0.03482375602560893,8,0.0038042065140970623
57,0.0116892158250881,0.0,0.028988444182889487,0.028081846943262254,6,0.0019482026375146832
58,0.006312884331404,0.2533599,0.032230801514663864,0.0450434820772833,6,0.0010521473885673333
59,0.00464133356257428,0.3333333,0.03350058090015348,0.03594743897063351,8,0.000580166695321785
60,0.00313538780825407,0.27777779999999996,0.015885802554357186,0.010012455236012961,3,0.0010451292694180234
