id,Creativity Page Rank,Cosine similarity,Overall Average Page Rank of Successors,Average Creativity Page Rank Successors,Frienship indegree,Creativity Ratio
36,0.00607718319408087,0.6666667,0.01583504098836096,0.01451470782540358,3,0.00202572773136029
37,0.005517563579076521,0.4444444,0.02737511368484635,0.01941051354873519,4,0.0013793908947691302
38,0.0208537154587604,0.1666667,0.04534717977192355,0.0452332028588666,3,0.0069512384862534665
39,0.0144673514604649,0.43598580000000003,0.04179493501214549,0.046544082566844,4,0.003616837865116225
40,0.007499068076294429,0.2222222,0.024579908552237295,0.026974775000150403,3,0.0024996893587648098
41,0.00982460350885417,0.06804138,0.03038574926313937,0.025788056338740845,4,0.0024561508772135425
42,0.009282549317540441,1.0,0.00677323540364728,0.007098644469945097,3,0.003094183105846814
43,0.00691406824700541,0.8333333,0.006450803070977379,0.006879121921447135,5,0.001382813649401082
44,0.00498499534671805,0.3333333,0.02038002813581152,0.034040513809722825,3,0.0016616651155726833
45,0.0146619508423474,0.1666667,0.03620971810156811,0.03085813181085306,3,0.004887316947449133
46,0.0329852319649193,0.38888890000000004,0.03787245379917393,0.026787826850977938,10,0.00329852319649193
47,0.0038794444460795298,0.3883828,0.016706746771166604,0.014887592451819299,1,0.0038794444460795298
48,0.0290059176695826,0.5212100000000001,0.040009177467020506,0.04019231051097988,7,0.004143702524226086
49,0.0179336045505956,0.3439383,0.030138838663581597,0.041696331993906044,3,0.005977868183531867
50,0.0440512972513483,0.5,0.033475204570847204,0.03576119069878928,8,0.0055064121564185374
51,0.0191210653829115,0.4444444,0.031031888854998538,0.031981831531006005,10,0.0019121065382911502
52,0.0129809479020667,0.27777779999999996,0.03284095746440935,0.027273483253441606,7,0.0018544211288666714
53,0.0076521487493582206,,0.03732336529125035,0.03468357099966567,4,0.0019130371873395551
54,0.00744422711926732,0.4444444,0.01422892143714964,0.009297599191707282,6,0.0012407045198778866
55,0.00742626007815117,0.48686450000000003,0.011779652875865106,0.009365760542409727,4,0.0018565650195377925
56,0.0143418648980005,0.8424735000000001,0.024289419111423082,0.016142051892354722,8,0.0017927331122500625
57,0.019527843641767,0.0,0.028988444182889487,0.023092783703626,6,0.0032546406069611667
58,0.0190983264168128,0.2533599,0.032230801514663864,0.03938252552443252,6,0.003183054402802133
59,0.0269599996026153,0.3333333,0.03350058090015348,0.04014629039337974,8,0.0033699999503269125
60,0.0136335779916216,0.27777779999999996,0.015885802554357186,0.02027052269666443,3,0.0045445259972072
